,0,1
0,571,891
1,437,742
2,1750,635
3,761,648
4,1018,647
5,928,533
6,856,565
7,612,473
8,881,473
9,1336,980
10,753,463
11,1118,436
12,942,458
13,1877,605
14,642,435
15,688,450
16,1268,433
17,1424,466
18,567,905
19,434,750
20,1724,626
21,930,534
22,857,567
23,1019,650
24,761,655
25,612,474
26,881,473
27,753,463
28,1867,590
29,641,436
30,687,451
31,943,459
32,1347,984
33,1114,435
34,1417,465
35,564,920
36,1701,618
37,762,659
38,427,756
39,1021,651
40,930,536
41,858,571
42,612,475
43,753,465
44,1365,989
45,1857,585
46,882,475
47,641,437
48,946,461
49,688,452
50,1260,430
51,560,934
52,861,574
53,424,763
54,763,665
55,931,537
56,1678,609
57,1848,578
58,1371,993
59,753,465
60,611,475
61,1026,656
62,687,452
63,948,464
64,641,438
65,882,475
66,1403,460
67,1256,430
68,1104,430
69,863,580
70,552,963
71,413,779
72,1029,662
73,763,675
74,1635,595
75,610,479
76,1821,566
77,932,538
78,954,467
79,687,456
80,885,477
81,754,467
82,1890,619
83,1246,429
84,1390,1003
85,640,438
86,1390,457
87,1098,428
88,864,582
89,546,974
90,409,786
91,1032,665
92,764,680
93,1613,587
94,936,542
95,687,457
96,1799,562
97,885,477
98,754,470
99,956,470
100,1877,620
101,797,442
102,1392,1009
103,609,480
104,1242,427
105,639,441
106,846,429
107,1384,456
108,743,417
109,544,980
110,865,584
111,406,794
112,765,687
113,937,543
114,1596,581
115,885,478
116,1033,668
117,1782,556
118,755,470
119,957,471
120,687,457
121,639,442
122,797,442
123,1864,617
124,846,429
125,1443,1015
126,743,417
127,608,481
128,540,985
129,1037,670
130,870,587
131,397,803
132,1576,575
133,937,544
134,886,479
135,766,695
136,1763,550
137,755,471
138,638,443
139,687,458
140,961,472
141,607,484
142,797,442
143,1851,609
144,847,428
145,534,999
146,388,821
147,870,593
148,939,546
149,1731,541
150,1044,677
151,1542,562
152,967,477
153,888,480
154,1824,591
155,768,706
156,638,444
157,755,474
158,607,486
159,686,461
160,799,443
161,529,1006
162,380,830
163,941,547
164,1046,680
165,873,598
166,1712,536
167,968,478
168,1525,558
169,888,480
170,637,444
171,605,489
172,755,476
173,769,714
174,687,463
175,1799,585
176,799,443
177,849,430
178,941,548
179,874,601
180,374,840
181,528,1014
182,888,481
183,970,480
184,1699,531
185,1510,551
186,604,490
187,755,477
188,636,445
189,687,464
190,1048,684
191,800,445
192,849,430
193,1070,417
194,1775,577
195,941,548
196,875,603
197,1495,546
198,368,850
199,527,1021
200,772,728
201,889,481
202,755,477
203,1683,525
204,1051,687
205,636,445
206,686,465
207,974,484
208,800,445
209,849,430
210,603,491
211,1215,420
212,1752,570
213,942,551
214,356,871
215,880,612
216,772,744
217,1056,693
218,523,1039
219,601,493
220,1466,537
221,891,484
222,979,487
223,755,479
224,686,467
225,636,447
226,1651,517
227,1208,418
228,799,447
229,661,404
230,1712,559
231,850,432
232,1651,517
233,346,884
234,943,552
235,1452,532
236,525,1048
237,772,752
238,635,449
239,1058,697
240,686,471
241,881,615
242,601,495
243,892,484
244,981,489
245,1640,513
246,756,480
247,1692,553
248,339,894
249,947,555
250,1059,699
251,882,619
252,527,1059
253,1441,528
254,773,760
255,635,450
256,892,485
257,686,471
258,599,498
259,986,491
260,1626,510
261,756,481
262,1672,549
263,333,906
264,948,556
265,988,494
266,1426,523
267,599,499
268,685,472
269,884,623
270,635,450
271,1610,507
272,893,486
273,773,770
274,1064,703
275,756,484
276,661,406
277,803,450
278,1655,544
